SeasonEnd,Team,Playoffs,W,PTS,oppPTS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV
1980,Atlanta Hawks,1,50,8573,8334,3261,7027,3248,6952,13,75,2038,2645,1369,2406,1913,782,539,1495
1980,Boston Celtics,1,61,9303,8664,3617,7387,3455,6965,162,422,1907,2449,1227,2457,2198,809,308,1539
1980,Chicago Bulls,0,30,8813,9035,3362,6943,3292,6668,70,275,2019,2592,1115,2465,2152,704,392,1684
1980,Cleveland Cavaliers,0,37,9360,9332,3811,8041,3775,7854,36,187,1702,2205,1307,2381,2108,764,342,1370
1980,Denver Nuggets,0,30,8878,9240,3462,7470,3379,7215,83,255,1871,2539,1311,2524,2079,746,404,1533
1980,Detroit Pistons,0,16,8933,9609,3643,7596,3586,7377,57,219,1590,2149,1226,2415,1950,783,562,1742
1980,Golden State Warriors,0,24,8493,8853,3527,7318,3500,7197,27,121,1412,1914,1155,2437,2028,779,339,1492
1980,Houston Rockets,1,41,9084,9070,3599,7496,3495,7117,104,379,1782,2326,1394,2217,2149,782,373,1565
1980,Indiana Pacers,0,37,9119,9176,3639,7689,3551,7375,88,314,1753,2333,1398,2326,2148,900,530,1517
1980,Kansas City Kings,1,47,8860,8603,3582,7489,3557,7375,25,114,1671,2250,1187,2429,2123,863,356,1439
1980,Los Angeles Lakers,1,60,9438,8954,3898,7368,3878,7268,20,100,1622,2092,1085,2653,2413,774,546,1639
1980,Milwaukee Bucks,1,49,9025,8702,3685,7553,3635,7398,50,155,1605,2102,1245,2396,2277,778,510,1496
1980,New Jersey Nets,0,34,8879,8975,3456,7504,3371,7206,85,298,1882,2406,1229,2535,2094,869,581,1702
1980,New York Knicks,0,39,9344,9438,3802,7672,3760,7481,42,191,1698,2274,1236,2303,2265,881,457,1613
1980,Philadelphia 76ers,1,59,8949,8603,3523,7156,3496,7031,27,125,1876,2431,1187,2635,2226,792,652,1708
1980,Phoenix Suns,1,55,9114,8819,3570,7235,3502,6955,68,280,1906,2466,1071,2458,2283,908,344,1629
1980,Portland Trail Blazers,1,38,8402,8469,3408,7167,3382,7035,26,132,1560,2100,1295,2408,1898,708,472,1552
1980,San Antonio Spurs,1,41,9788,9819,3856,7738,3804,7532,52,206,2024,2528,1153,2515,2326,771,333,1589
1980,San Diego Clippers,0,35,8820,9160,3524,7494,3347,6951,177,543,1595,2167,1294,2308,1688,664,288,1443
1980,Seattle SuperSonics,1,56,8897,8515,3554,7565,3495,7376,59,189,1730,2253,1380,2550,2043,750,428,1496
1980,Utah Jazz,0,24,8394,8887,3382,6817,3323,6632,59,185,1571,1943,967,2359,2005,656,362,1543
1980,Washington Bullets,1,39,8773,8982,3574,7796,3501,7558,73,238,1552,2048,1334,2723,2201,530,443,1380
1981,Atlanta Hawks,0,31,8604,8858,3291,6866,3281,6784,10,82,2012,2590,1201,2224,1846,749,469,1605
1981,Boston Celtics,1,62,9008,8526,3581,7099,3516,6858,65,241,1781,2369,1155,2424,2202,683,594,1577
